,Athens,Berlin,Paris,Rome,query,London,Hanoi,Rio de Janeiro,Lisbon
2021-12-12 14:00:00+01:00,15.7,2.2,10.6,11.4,2021-12-12 08:00:00+01:00,,,,
2021-12-12 15:00:00+01:00,15.2,2.8,11.1,10.2,2021-12-12 08:00:00+01:00,,,,
2021-12-12 16:00:00+01:00,14.4,2.8,10.6,9.3,2021-12-12 08:00:00+01:00,,,,
2021-12-12 17:00:00+01:00,13.4,2.8,10.0,8.2,2021-12-12 08:00:00+01:00,,,,
2021-12-12 18:00:00+01:00,12.8,2.8,9.4,6.5,2021-12-12 08:00:00+01:00,,,,
2021-12-12 19:00:00+01:00,12.4,2.8,9.4,5.8,2021-12-12 08:00:00+01:00,,,,
2021-12-12 20:00:00+01:00,13.9,2.8,8.9,5.3,2021-12-12 20:00:00+01:00,,,,
2021-12-12 21:00:00+01:00,13.2,2.8,8.3,4.0,2021-12-12 20:00:00+01:00,,,,
2021-12-12 22:00:00+01:00,12.6,2.8,8.3,3.0,2021-12-12 20:00:00+01:00,,,,
2021-12-12 23:00:00+01:00,12.1,2.8,8.3,2.6,2021-12-12 20:00:00+01:00,,,,
2021-12-13 00:00:00+01:00,11.6,2.8,8.3,2.0,2021-12-12 20:00:00+01:00,,,,
2021-12-13 01:00:00+01:00,11.1,3.3,8.3,1.3,2021-12-12 20:00:00+01:00,,,,
2021-12-13 02:00:00+01:00,10.7,3.3,8.3,0.7,2021-12-12 20:00:00+01:00,,,,
2021-12-13 03:00:00+01:00,10.3,3.3,7.8,0.5,2021-12-12 20:00:00+01:00,,,,
2021-12-13 04:00:00+01:00,9.8,3.3,7.8,0.5,2021-12-12 20:00:00+01:00,,,,
2021-12-13 05:00:00+01:00,9.4,3.3,7.8,0.4,2021-12-12 20:00:00+01:00,,,,
2021-12-13 06:00:00+01:00,8.9,3.3,7.8,0.3,2021-12-12 20:00:00+01:00,,,,
2021-12-13 07:00:00+01:00,9.6,3.3,7.8,-0.8,2021-12-12 20:00:00+01:00,,,,
2021-12-13 08:00:00+01:00,12.2,3.3,8.3,1.0,2021-12-13 08:00:00+01:00,,,,
2021-12-13 09:00:00+01:00,13.0,3.9,8.9,1.6,2021-12-13 08:00:00+01:00,,,,
2021-12-13 10:00:00+01:00,13.7,3.9,8.9,4.1,2021-12-13 08:00:00+01:00,,,,
2021-12-13 11:00:00+01:00,14.3,4.4,8.9,6.9,2021-12-13 08:00:00+01:00,,,,
2021-12-13 12:00:00+01:00,14.9,4.4,9.4,9.1,2021-12-13 08:00:00+01:00,,,,
2021-12-13 13:00:00+01:00,14.5,5.0,9.4,10.4,2021-12-13 08:00:00+01:00,,,,
2021-12-13 14:00:00+01:00,13.8,5.0,9.4,11.5,2021-12-13 08:00:00+01:00,,,,
2021-12-13 15:00:00+01:00,13.0,5.6,10.0,10.8,2021-12-13 08:00:00+01:00,,,,
2021-12-13 16:00:00+01:00,12.0,6.1,9.4,9.7,2021-12-13 08:00:00+01:00,,,,
2021-12-13 17:00:00+01:00,11.1,5.6,8.3,8.0,2021-12-13 08:00:00+01:00,,,,
2021-12-13 18:00:00+01:00,10.7,5.6,7.8,6.1,2021-12-13 08:00:00+01:00,,,,
2021-12-13 19:00:00+01:00,10.3,5.6,7.2,4.6,2021-12-13 08:00:00+01:00,,,,
2021-12-13 20:00:00+01:00,9.9,7.8,7.2,5.2,2021-12-13 20:00:00+01:00,,,,
2021-12-13 21:00:00+01:00,9.6,7.2,6.7,4.3,2021-12-13 20:00:00+01:00,,,,
2021-12-13 22:00:00+01:00,9.2,7.2,6.1,3.7,2021-12-13 20:00:00+01:00,,,,
2021-12-13 23:00:00+01:00,8.7,7.2,5.6,3.2,2021-12-13 20:00:00+01:00,,,,
2021-12-14 00:00:00+01:00,7.9,7.2,5.6,2.8,2021-12-13 20:00:00+01:00,,,,
2021-12-14 01:00:00+01:00,7.4,7.2,5.0,2.5,2021-12-13 20:00:00+01:00,,,,
2021-12-14 02:00:00+01:00,7.3,7.2,5.0,2.2,2021-12-13 20:00:00+01:00,,,,
2021-12-14 03:00:00+01:00,7.3,7.2,4.4,2.1,2021-12-13 20:00:00+01:00,,,,
2021-12-14 04:00:00+01:00,7.2,7.1,4.4,1.5,2021-12-13 20:00:00+01:00,,,,
2021-12-14 05:00:00+01:00,7.0,6.8,3.3,1.3,2021-12-13 20:00:00+01:00,,,,
2021-12-14 06:00:00+01:00,6.6,6.4,4.4,0.2,2021-12-13 20:00:00+01:00,,,,
2021-12-14 07:00:00+01:00,7.1,6.2,4.4,1.3,2021-12-13 20:00:00+01:00,,,,
2021-12-14 08:00:00+01:00,7.8,6.1,5.0,3.2,2021-12-14 08:00:00+01:00,,,,
2021-12-14 09:00:00+01:00,8.3,6.1,5.0,4.1,2021-12-14 08:00:00+01:00,,,,
2021-12-14 10:00:00+01:00,8.6,6.1,5.0,5.0,2021-12-14 08:00:00+01:00,,,,
2021-12-14 11:00:00+01:00,8.9,6.1,6.1,7.5,2021-12-14 08:00:00+01:00,,,,
2021-12-14 12:00:00+01:00,9.2,6.7,6.7,9.8,2021-12-14 08:00:00+01:00,,,,
2021-12-14 13:00:00+01:00,9.3,6.7,7.2,11.3,2021-12-14 08:00:00+01:00,,,,
2021-12-14 14:00:00+01:00,9.6,6.7,7.2,12.2,2021-12-14 08:00:00+01:00,,,,
2021-12-14 15:00:00+01:00,9.9,6.1,7.8,13.3,2021-12-14 08:00:00+01:00,,,,
2021-12-14 16:00:00+01:00,10.1,6.1,7.2,11.5,2021-12-14 08:00:00+01:00,,,,
2021-12-14 17:00:00+01:00,10.0,6.1,6.7,10.5,2021-12-14 08:00:00+01:00,,,,
2021-12-14 18:00:00+01:00,8.5,6.1,6.1,8.7,2021-12-14 08:00:00+01:00,,,,
2021-12-14 19:00:00+01:00,8.4,6.1,6.1,7.5,2021-12-14 08:00:00+01:00,,,,
2021-12-14 20:00:00+01:00,6.8,7.8,6.1,8.7,2021-12-14 20:00:00+01:00,,,,
2021-12-14 21:00:00+01:00,7.4,7.8,6.7,7.7,2021-12-14 20:00:00+01:00,,,,
2021-12-14 22:00:00+01:00,8.0,7.8,6.7,6.6,2021-12-14 20:00:00+01:00,,,,
2021-12-14 23:00:00+01:00,8.5,7.8,6.1,6.0,2021-12-14 20:00:00+01:00,,,,
2021-12-15 00:00:00+01:00,8.4,7.7,6.1,5.4,2021-12-14 20:00:00+01:00,,,,
2021-12-15 01:00:00+01:00,8.4,7.7,6.1,4.7,2021-12-14 20:00:00+01:00,,,,
2021-12-15 02:00:00+01:00,8.5,7.7,6.1,4.2,2021-12-14 20:00:00+01:00,,,,
2021-12-15 03:00:00+01:00,8.7,7.7,5.6,3.6,2021-12-14 20:00:00+01:00,,,,
2021-12-15 04:00:00+01:00,8.9,7.8,5.6,2.5,2021-12-14 20:00:00+01:00,,,,
2021-12-15 05:00:00+01:00,9.0,7.8,5.6,1.0,2021-12-14 20:00:00+01:00,,,,
2021-12-15 06:00:00+01:00,9.1,7.7,5.6,2.0,2021-12-14 20:00:00+01:00,,,,
2021-12-15 07:00:00+01:00,9.3,7.2,5.0,2.2,2021-12-14 20:00:00+01:00,,,,
2021-12-15 08:00:00+01:00,9.3,7.8,4.4,5.7,2021-12-15 08:00:00+01:00,,,,
2021-12-15 09:00:00+01:00,9.8,7.8,5.0,5.9,2021-12-15 08:00:00+01:00,,,,
2021-12-15 10:00:00+01:00,10.1,7.8,5.6,7.0,2021-12-15 08:00:00+01:00,,,,
2021-12-15 11:00:00+01:00,10.4,7.8,6.1,8.1,2021-12-15 08:00:00+01:00,,,,
2021-12-15 12:00:00+01:00,11.2,7.8,6.7,10.1,2021-12-15 08:00:00+01:00,,,,
2021-12-15 13:00:00+01:00,10.5,8.3,7.2,11.4,2021-12-15 08:00:00+01:00,,,,
2021-12-15 14:00:00+01:00,10.2,8.3,7.2,12.3,2021-12-15 08:00:00+01:00,,,,
2021-12-15 15:00:00+01:00,9.8,8.3,7.8,13.4,2021-12-15 08:00:00+01:00,,,,
2021-12-15 16:00:00+01:00,9.3,8.3,7.2,11.9,2021-12-15 08:00:00+01:00,,,,
2021-12-15 17:00:00+01:00,8.7,8.3,6.7,10.6,2021-12-15 08:00:00+01:00,,,,
2021-12-15 18:00:00+01:00,8.4,8.3,6.1,8.8,2021-12-15 08:00:00+01:00,,,,
2021-12-15 19:00:00+01:00,8.1,8.3,5.6,7.0,2021-12-15 08:00:00+01:00,,,,
2021-12-15 20:00:00+01:00,9.3,8.6,7.9,6.9,2021-12-15 20:00:00+01:00,,,,
2021-12-15 21:00:00+01:00,9.0,8.4,7.8,6.5,2021-12-15 20:00:00+01:00,,,,
2021-12-15 22:00:00+01:00,8.7,8.1,7.6,5.7,2021-12-15 20:00:00+01:00,,,,
2021-12-15 23:00:00+01:00,8.6,8.0,7.2,5.0,2021-12-15 20:00:00+01:00,,,,
2021-12-16 00:00:00+01:00,8.4,7.9,6.7,4.6,2021-12-15 20:00:00+01:00,,,,
2021-12-16 01:00:00+01:00,8.3,7.8,6.1,4.3,2021-12-15 20:00:00+01:00,,,,
2021-12-16 02:00:00+01:00,8.2,7.8,5.0,3.9,2021-12-15 20:00:00+01:00,,,,
2021-12-16 03:00:00+01:00,8.3,7.9,5.7,3.4,2021-12-15 20:00:00+01:00,,,,
2021-12-16 04:00:00+01:00,8.2,7.5,6.0,3.1,2021-12-15 20:00:00+01:00,,,,
2021-12-16 05:00:00+01:00,8.1,7.8,5.8,2.7,2021-12-15 20:00:00+01:00,,,,
2021-12-16 06:00:00+01:00,8.1,7.6,5.6,2.1,2021-12-15 20:00:00+01:00,,,,
2021-12-16 07:00:00+01:00,7.4,7.5,5.5,2.9,2021-12-15 20:00:00+01:00,,,,
2021-12-16 08:00:00+01:00,8.2,7.5,7.5,3.4,2021-12-16 08:00:00+01:00,,,,
2021-12-16 09:00:00+01:00,9.3,7.4,7.1,3.8,2021-12-16 08:00:00+01:00,,,,
2021-12-16 10:00:00+01:00,10.0,7.5,7.3,6.0,2021-12-16 08:00:00+01:00,,,,
2021-12-16 11:00:00+01:00,10.5,7.8,7.5,8.3,2021-12-16 08:00:00+01:00,,,,
2021-12-16 12:00:00+01:00,10.9,8.1,8.5,10.1,2021-12-16 08:00:00+01:00,,,,
2021-12-16 13:00:00+01:00,11.5,8.6,8.9,11.3,2021-12-16 08:00:00+01:00,,,,
2021-12-16 14:00:00+01:00,10.8,8.1,9.3,12.0,2021-12-16 08:00:00+01:00,,,,
2021-12-16 15:00:00+01:00,10.2,8.0,10.0,13.1,2021-12-16 08:00:00+01:00,,,,
2021-12-16 16:00:00+01:00,9.3,7.4,9.2,11.5,2021-12-16 08:00:00+01:00,,,,
2021-12-16 17:00:00+01:00,8.1,6.7,8.6,10.3,2021-12-16 08:00:00+01:00,,,,
2021-12-16 18:00:00+01:00,7.3,6.3,8.1,8.5,2021-12-16 08:00:00+01:00,,,,
2021-12-16 19:00:00+01:00,6.8,5.8,8.1,6.9,2021-12-16 08:00:00+01:00,,,,
2021-12-17 09:00:00+01:00,8.8,3.2,5.1,5.8,2021-12-17 09:00:00+01:00,,,,
2021-12-17 10:00:00+01:00,9.7,4.2,5.5,6.6,2021-12-17 09:00:00+01:00,,,,
2021-12-17 11:00:00+01:00,10.4,4.9,6.6,8.3,2021-12-17 09:00:00+01:00,,,,
2021-12-17 12:00:00+01:00,10.8,5.3,7.5,9.9,2021-12-17 09:00:00+01:00,,,,
2021-12-17 13:00:00+01:00,11.3,5.6,8.0,11.2,2021-12-17 09:00:00+01:00,,,,
2021-12-17 14:00:00+01:00,10.8,6.0,8.3,11.9,2021-12-17 09:00:00+01:00,,,,
2021-12-17 15:00:00+01:00,10.4,5.5,8.9,13.0,2021-12-17 09:00:00+01:00,,,,
2021-12-17 16:00:00+01:00,9.6,4.9,8.2,11.3,2021-12-17 09:00:00+01:00,,,,
2021-12-17 17:00:00+01:00,8.6,5.3,7.0,10.1,2021-12-17 09:00:00+01:00,,,,
2021-12-17 18:00:00+01:00,7.5,5.1,6.7,8.4,2021-12-17 09:00:00+01:00,,,,
2021-12-17 19:00:00+01:00,6.8,5.0,6.1,6.4,2021-12-17 09:00:00+01:00,,,,
2021-12-17 20:00:00+01:00,5.5,5.0,5.6,5.1,2021-12-17 09:00:00+01:00,,,,
2021-12-17 20:00:00+01:00,7.8,5.0,6.4,6.6,2021-12-17 20:00:00+01:00,,,,
2021-12-17 21:00:00+01:00,7.2,5.0,5.9,5.8,2021-12-17 20:00:00+01:00,,,,
2021-12-17 22:00:00+01:00,6.6,4.4,5.5,5.1,2021-12-17 20:00:00+01:00,,,,
2021-12-17 23:00:00+01:00,7.1,5.0,5.0,4.3,2021-12-17 20:00:00+01:00,,,,
2021-12-18 00:00:00+01:00,8.0,5.2,4.7,3.5,2021-12-17 20:00:00+01:00,,,,
2021-12-18 01:00:00+01:00,8.8,5.4,4.4,3.1,2021-12-17 20:00:00+01:00,,,,
2021-12-18 02:00:00+01:00,8.7,5.2,4.3,2.6,2021-12-17 20:00:00+01:00,,,,
2021-12-18 03:00:00+01:00,8.2,5.0,4.3,2.1,2021-12-17 20:00:00+01:00,,,,
2021-12-18 04:00:00+01:00,8.3,4.8,4.3,1.5,2021-12-17 20:00:00+01:00,,,,
2021-12-18 05:00:00+01:00,8.0,4.9,4.3,1.1,2021-12-17 20:00:00+01:00,,,,
2021-12-18 06:00:00+01:00,7.7,5.2,4.3,0.1,2021-12-17 20:00:00+01:00,,,,
2021-12-18 07:00:00+01:00,7.6,5.5,4.1,1.0,2021-12-17 20:00:00+01:00,,,,
2021-12-18 09:00:00+01:00,6.7,5.8,2.8,5.7,2021-12-18 09:00:00+01:00,,,,
2021-12-18 10:00:00+01:00,6.8,5.9,3.8,6.7,2021-12-18 09:00:00+01:00,,,,
2021-12-18 11:00:00+01:00,7.1,6.1,5.1,8.7,2021-12-18 09:00:00+01:00,,,,
2021-12-18 12:00:00+01:00,7.3,6.4,6.2,10.6,2021-12-18 09:00:00+01:00,,,,
2021-12-18 13:00:00+01:00,7.5,6.6,6.7,11.9,2021-12-18 09:00:00+01:00,,,,
2021-12-18 14:00:00+01:00,7.4,6.5,6.9,12.9,2021-12-18 09:00:00+01:00,,,,
2021-12-18 15:00:00+01:00,7.3,6.9,7.5,12.0,2021-12-18 09:00:00+01:00,,,,
2021-12-18 16:00:00+01:00,7.2,6.2,6.8,10.6,2021-12-18 09:00:00+01:00,,,,
2021-12-18 17:00:00+01:00,7.0,6.3,6.2,8.7,2021-12-18 09:00:00+01:00,,,,
2021-12-18 18:00:00+01:00,7.1,6.3,5.9,6.7,2021-12-18 09:00:00+01:00,,,,
2021-12-18 19:00:00+01:00,7.2,6.4,5.7,5.6,2021-12-18 09:00:00+01:00,,,,
2021-12-18 20:00:00+01:00,7.0,6.3,5.5,4.8,2021-12-18 09:00:00+01:00,,,,
2021-12-20 08:00:00+01:00,3.1,0.4,5.0,0.6,2021-12-20 08:00:00+01:00,,,,
2021-12-20 09:00:00+01:00,5.1,-0.4,4.5,1.1,2021-12-20 08:00:00+01:00,,,,
2021-12-20 10:00:00+01:00,7.5,1.2,4.7,3.7,2021-12-20 08:00:00+01:00,,,,
2021-12-20 11:00:00+01:00,9.8,2.0,5.3,7.3,2021-12-20 08:00:00+01:00,,,,
2021-12-20 12:00:00+01:00,12.2,2.6,5.7,10.5,2021-12-20 08:00:00+01:00,,,,
2021-12-20 13:00:00+01:00,12.6,2.8,5.7,12.2,2021-12-20 08:00:00+01:00,,,,
2021-12-20 14:00:00+01:00,13.7,3.6,5.8,13.8,2021-12-20 08:00:00+01:00,,,,
2021-12-20 15:00:00+01:00,12.4,2.6,6.4,13.0,2021-12-20 08:00:00+01:00,,,,
2021-12-20 16:00:00+01:00,11.2,1.9,5.6,11.7,2021-12-20 08:00:00+01:00,,,,
2021-12-20 17:00:00+01:00,10.4,2.0,4.6,9.9,2021-12-20 08:00:00+01:00,,,,
2021-12-20 18:00:00+01:00,8.8,1.4,4.0,8.1,2021-12-20 08:00:00+01:00,,,,
2021-12-20 19:00:00+01:00,8.5,0.8,3.5,6.5,2021-12-20 08:00:00+01:00,,,,
2021-12-20 08:00:00+01:00,6.8,0.4,5.0,3.7,2021-12-20 08:00:00+01:00,,,,
2021-12-20 09:00:00+01:00,8.3,-0.4,4.5,4.6,2021-12-20 08:00:00+01:00,,,,
2021-12-20 10:00:00+01:00,9.6,1.2,4.7,5.7,2021-12-20 08:00:00+01:00,,,,
2021-12-20 11:00:00+01:00,10.7,2.0,5.3,8.1,2021-12-20 08:00:00+01:00,,,,
2021-12-20 12:00:00+01:00,11.8,2.6,5.7,10.5,2021-12-20 08:00:00+01:00,,,,
2021-12-20 13:00:00+01:00,12.8,2.8,5.7,12.2,2021-12-20 08:00:00+01:00,,,,
2021-12-20 14:00:00+01:00,13.7,3.6,5.8,13.8,2021-12-20 08:00:00+01:00,,,,
2021-12-20 15:00:00+01:00,12.8,2.6,6.4,13.0,2021-12-20 08:00:00+01:00,,,,
2021-12-20 16:00:00+01:00,11.6,1.9,5.6,11.7,2021-12-20 08:00:00+01:00,,,,
2021-12-20 17:00:00+01:00,10.4,2.0,4.6,9.9,2021-12-20 08:00:00+01:00,,,,
2021-12-20 18:00:00+01:00,8.8,1.4,4.0,8.1,2021-12-20 08:00:00+01:00,,,,
2021-12-20 19:00:00+01:00,8.5,0.8,3.5,6.5,2021-12-20 08:00:00+01:00,,,,
2021-12-20 21:00:00+01:00,7.1,-0.3,3.9,4.4,2021-12-20 21:00:00+01:00,5.0,15.5,25.9,15.6
2021-12-20 22:00:00+01:00,6.7,-0.7,3.3,4.5,2021-12-20 21:00:00+01:00,5.0,14.8,24.8,15.5
2021-12-20 23:00:00+01:00,6.3,-0.7,3.3,4.3,2021-12-20 21:00:00+01:00,5.0,14.2,24.3,15.3
2021-12-21 00:00:00+01:00,6.9,-0.4,3.0,3.6,2021-12-20 21:00:00+01:00,4.4,13.3,23.8,15.2
2021-12-21 01:00:00+01:00,7.4,-0.2,2.8,2.9,2021-12-20 21:00:00+01:00,4.4,13.7,23.3,15.1
2021-12-21 02:00:00+01:00,7.9,-0.1,2.6,2.7,2021-12-20 21:00:00+01:00,4.4,15.4,22.8,15.1
2021-12-21 03:00:00+01:00,8.3,-0.1,2.4,2.5,2021-12-20 21:00:00+01:00,3.9,17.9,22.3,15.1
2021-12-21 04:00:00+01:00,8.7,-0.1,2.2,2.1,2021-12-20 21:00:00+01:00,3.9,20.2,21.9,15.1
2021-12-21 05:00:00+01:00,8.5,-0.2,2.0,1.8,2021-12-20 21:00:00+01:00,3.9,22.1,21.5,15.1
2021-12-21 06:00:00+01:00,8.2,-0.2,1.7,1.5,2021-12-20 21:00:00+01:00,3.3,23.5,21.2,15.0
2021-12-21 07:00:00+01:00,8.2,-0.9,1.5,0.4,2021-12-20 21:00:00+01:00,3.3,24.0,21.0,14.5
2021-12-21 08:00:00+01:00,8.3,-0.5,0.7,1.5,2021-12-20 21:00:00+01:00,2.8,24.6,20.7,14.8
2021-12-21 11:00:00+01:00,9.2,1.9,1.1,7.5,2021-12-21 11:00:00+01:00,4.8,21.8,22.6,16.0
2021-12-21 12:00:00+01:00,10.0,2.2,2.2,10.2,2021-12-21 11:00:00+01:00,5.4,20.3,24.5,16.6
2021-12-21 13:00:00+01:00,10.3,2.4,2.8,11.9,2021-12-21 11:00:00+01:00,5.8,19.5,26.2,17.2
2021-12-21 14:00:00+01:00,10.3,2.4,3.3,13.0,2021-12-21 11:00:00+01:00,6.0,18.3,27.6,17.1
2021-12-21 15:00:00+01:00,9.9,2.3,3.9,13.4,2021-12-21 11:00:00+01:00,6.5,17.3,28.8,16.9
2021-12-21 16:00:00+01:00,9.4,1.0,3.9,12.5,2021-12-21 11:00:00+01:00,5.5,16.4,29.6,16.8
2021-12-21 17:00:00+01:00,8.2,0.4,2.2,11.2,2021-12-21 11:00:00+01:00,4.4,16.0,30.0,16.2
2021-12-21 18:00:00+01:00,6.9,0.0,1.1,9.9,2021-12-21 11:00:00+01:00,3.5,15.8,29.9,15.2
2021-12-21 19:00:00+01:00,6.2,-0.7,0.6,8.0,2021-12-21 11:00:00+01:00,3.1,15.6,29.5,15.1
2021-12-21 20:00:00+01:00,5.7,-0.8,0.0,6.1,2021-12-21 11:00:00+01:00,2.6,15.3,29.3,14.8
2021-12-21 21:00:00+01:00,6.0,0.3,-0.6,4.9,2021-12-21 11:00:00+01:00,2.3,14.8,28.8,14.6
2021-12-21 22:00:00+01:00,6.8,1.9,-1.1,4.7,2021-12-21 11:00:00+01:00,1.6,14.4,27.7,14.5
2021-12-21 20:00:00+01:00,6.6,-0.6,0.6,6.6,2021-12-21 20:00:00+01:00,3.9,15.3,29.3,14.9
2021-12-21 21:00:00+01:00,6.7,-0.6,0.0,6.0,2021-12-21 20:00:00+01:00,2.8,14.8,28.8,14.7
2021-12-21 22:00:00+01:00,6.5,0.0,-0.6,5.7,2021-12-21 20:00:00+01:00,1.7,14.4,27.7,14.5
2021-12-21 23:00:00+01:00,6.3,0.0,-1.1,5.4,2021-12-21 20:00:00+01:00,1.7,14.0,26.3,14.3
2021-12-22 00:00:00+01:00,6.2,0.6,-1.1,5.0,2021-12-21 20:00:00+01:00,1.1,13.1,25.5,14.1
2021-12-22 01:00:00+01:00,6.2,0.0,-1.7,4.8,2021-12-21 20:00:00+01:00,0.6,13.9,24.7,14.0
2021-12-22 02:00:00+01:00,6.0,0.0,-1.7,4.7,2021-12-21 20:00:00+01:00,0.6,15.4,24.2,13.9
2021-12-22 03:00:00+01:00,6.0,0.0,-2.2,4.3,2021-12-21 20:00:00+01:00,-0.6,17.9,23.9,13.9
2021-12-22 04:00:00+01:00,6.0,0.0,-2.2,4.0,2021-12-21 20:00:00+01:00,0.6,20.1,23.6,13.8
2021-12-22 05:00:00+01:00,5.8,-0.6,-2.2,3.3,2021-12-21 20:00:00+01:00,0.6,22.0,23.2,13.6
2021-12-22 06:00:00+01:00,5.5,0.0,-2.8,4.0,2021-12-21 20:00:00+01:00,0.6,23.6,22.9,13.1
2021-12-22 07:00:00+01:00,4.9,0.0,-2.8,4.3,2021-12-21 20:00:00+01:00,0.6,24.4,22.6,12.8
2021-12-22 08:00:00+01:00,8.9,-1.7,-3.3,6.3,2021-12-22 08:00:00+01:00,0.6,24.7,22.1,12.0
2021-12-22 09:00:00+01:00,9.4,-1.4,-3.3,6.6,2021-12-22 08:00:00+01:00,1.1,25.4,21.0,12.7
2021-12-22 10:00:00+01:00,10.0,-0.7,-2.8,7.5,2021-12-22 08:00:00+01:00,1.1,24.3,22.8,13.1
2021-12-22 11:00:00+01:00,10.5,0.0,-1.1,8.7,2021-12-22 08:00:00+01:00,2.2,22.5,24.2,13.9
2021-12-22 12:00:00+01:00,10.9,0.3,0.0,10.2,2021-12-22 08:00:00+01:00,3.3,21.4,26.4,14.7
2021-12-22 13:00:00+01:00,11.4,0.3,1.1,11.4,2021-12-22 08:00:00+01:00,3.9,20.2,28.4,15.1
2021-12-22 14:00:00+01:00,11.0,0.8,1.1,12.5,2021-12-22 08:00:00+01:00,5.0,19.2,30.1,15.5
2021-12-22 15:00:00+01:00,10.6,0.0,2.2,11.5,2021-12-22 08:00:00+01:00,6.1,18.2,31.5,15.7
2021-12-22 16:00:00+01:00,10.3,-0.9,1.1,11.0,2021-12-22 08:00:00+01:00,5.0,17.5,32.6,16.2
2021-12-22 17:00:00+01:00,9.4,-0.9,0.6,10.6,2021-12-22 08:00:00+01:00,4.4,17.0,32.9,15.3
2021-12-22 18:00:00+01:00,7.9,-1.2,0.0,9.8,2021-12-22 08:00:00+01:00,4.4,16.5,33.5,14.7
2021-12-22 19:00:00+01:00,7.6,-1.6,0.0,8.8,2021-12-22 08:00:00+01:00,4.4,16.2,32.3,14.4
2021-12-23 09:00:00+01:00,9.1,-1.7,2.2,5.1,2021-12-23 09:00:00+01:00,7.8,25.6,22.2,14.1
2021-12-23 10:00:00+01:00,9.6,-1.7,3.3,6.8,2021-12-23 09:00:00+01:00,8.3,25.5,22.8,14.0
2021-12-23 11:00:00+01:00,10.0,-0.6,5.6,8.6,2021-12-23 09:00:00+01:00,8.9,23.4,23.3,14.1
2021-12-23 12:00:00+01:00,10.5,0.0,7.2,10.1,2021-12-23 09:00:00+01:00,9.4,22.5,24.0,14.4
2021-12-23 13:00:00+01:00,10.8,0.6,8.3,11.4,2021-12-23 09:00:00+01:00,9.4,21.0,24.5,14.5
2021-12-23 14:00:00+01:00,10.5,0.6,9.4,12.3,2021-12-23 09:00:00+01:00,10.0,20.2,25.4,15.2
2021-12-23 15:00:00+01:00,9.9,1.1,10.0,13.4,2021-12-23 09:00:00+01:00,10.0,19.6,24.0,14.8
2021-12-23 16:00:00+01:00,9.4,0.0,9.4,12.3,2021-12-23 09:00:00+01:00,10.6,19.2,24.3,14.7
2021-12-23 17:00:00+01:00,8.8,0.0,8.9,11.6,2021-12-23 09:00:00+01:00,10.6,18.9,24.5,14.5
2021-12-23 18:00:00+01:00,7.5,-0.6,8.3,10.5,2021-12-23 09:00:00+01:00,10.6,18.7,24.4,14.1
2021-12-23 19:00:00+01:00,6.3,-1.1,7.8,9.7,2021-12-23 09:00:00+01:00,11.1,18.4,24.1,13.9
2021-12-23 20:00:00+01:00,5.8,-0.6,8.9,9.8,2021-12-23 09:00:00+01:00,10.0,18.5,23.8,13.5
2021-12-23 22:00:00+01:00,5.5,0.0,7.7,9.5,2021-12-23 22:00:00+01:00,9.4,18.7,24.3,13.8
2021-12-23 23:00:00+01:00,5.1,0.6,7.8,9.5,2021-12-23 22:00:00+01:00,8.9,18.7,23.7,13.6
